"Variable","Coefficient"
"(Intercept)",381.366071428571
"MPP",-50.3986476967692
"naive_Bcells",48.9688097879305
"NKT",-47.4262116929077
"Neurons",-46.7124555517082
"Neutrophils",-41.3364342091331
"CD4_naive_Tcells",-35.1204683184143
"Mast_cells",27.8846486712461
"Plasma_cells",23.9088985813276
"Basophils",-23.8748176355107
"MSC",-20.4486271218237
"CMP",20.4043411885288
"Macrophages_M1",16.6229559981861
"HSC",10.8247060329231
"Myocytes",-6.13315806884373
"Th2_cells",-4.21864265470372
"Osteoblast",-4.20273210816556
"Eosinophils",0
"Platelets",0
