"Overall","Variable"
100,"Keratinocytes"
94.0988661654107,"ly_Endothelial_cells"
84.3175244872682,"Basophils"
83.1107373293588,"aDC"
82.4558890485464,"Myocytes"
81.0166842547281,"CD4_Tcells"
77.8045513814925,"naive_Bcells"
76.8622759936964,"Monocytes"
76.8530430540803,"Fibroblasts"
75.2376894172337,"CLP"
73.1722526930573,"MPP"
72.5533225822251,"Macrophages"
70.5060055437109,"GMP"
70.4998322316129,"pro_Bcells"
70.2404767518163,"Erythrocytes"
69.7267586547824,"Neutrophils"
69.1527836929789,"Eosinophils"
67.7585907731269,"Macrophages_M2"
66.6632076160772,"Mesangial_cells"
65.2319292128475,"iDC"
64.3402151636053,"MicroenvironmentScore"
64.0290801552639,"Megakaryocytes"
63.2351043320587,"cDC"
62.3918648618265,"CD4_memory_Tcells"
61.6787354554196,"mv_Endothelial_cells"
61.4297392305566,"Adipocytes"
61.4080841951123,"CD4_naive_Tcells"
61.1988752238637,"Plasma_cells"
59.9266536145921,"Memory_Bcells"
59.0655050305686,"Pericytes"
58.0195961066724,"ImmuneScore"
55.5850390049896,"Th2_cells"
54.6116536254551,"Tregs"
54.1819633405349,"pDC"
53.1682521114504,"Neurons"
51.4872803018506,"HSC"
50.8673181942129,"CD4_Tem"
50.17319017479,"Tgd_cells"
49.8188090082891,"MEP"
48.2913047026267,"MSC"
48.2867561175265,"Bcells"
48.1962910429918,"Melanocytes"
45.8913193727603,"Platelets"
44.6785851245646,"CMP"
42.4837393729119,"Macrophages_M1"
41.936464278073,"Classswitched_memory_Bcells"
39.4946196707868,"Epithelial_cells"
39.3700117627388,"CD8_Tcells"
39.1759921929571,"Osteoblast"
35.1191356191534,"NK_cells"
34.7013050280987,"StromaScore"
33.4296882161912,"Mast_cells"
32.9135062974767,"Hepatocytes"
30.9834456074648,"CD4_Tcm"
29.9764843832881,"DC"
29.6319473437828,"Preadipocytes"
28.531710241332,"Endothelial_cells"
28.2057200831563,"Sebocytes"
27.8956263426567,"CD8_Tem"
25.819104612686,"Smooth_muscle"
20.4351933794622,"CD8_naive_Tcells"
20.1563260163902,"Astrocytes"
8.07108192748954,"Th1_cells"
8.00010587934514,"Chondrocytes"
7.58352729653015,"NKT"
1.98134094981267,"Skeletal_muscle"
0,"CD8_Tcm"
