"Variable","Importance"
"CD4_Tcm",-0.035759067491819
"naive_Bcells",-0.069376601296607
"pDC",-0.168675699733764
"Pericytes",-0.185368788566681
"MicroenvironmentScore",-0.276205679540302
"MEP",-0.327385536981647
"aDC",-0.346616854782402
"Fibroblasts",-0.419095317144173
"CD4_memory_Tcells",-0.540555696977341
"Hepatocytes",-0.543930210802568
"CMP",-0.545072161262765
"Astrocytes",-0.623241454198903
"Chondrocytes",-0.858438610620451
"pro_Bcells",-0.958425539396954
"mv_Endothelial_cells",-1.19881156484842
"Osteoblast",-1.22599316752428
"Mesangial_cells",-1.24893134249352
"Tgd_cells",-1.39267226319326
"Skeletal_muscle",-1.42548673026088
"Smooth_muscle",-1.63103905429377
"Endothelial_cells",-2.27074097958672
