"Variable","rf_importance","gbm_importance","avg_importance"
"Myocytes",2.49475842498345,32.2491928455158,17.3719756352496
"Mast_cells",1.93218301905143,27.4306434453009,14.6814132321762
"MSC",3.42663415307436,23.8932069212704,13.6599205371724
"Tgd_cells",2.35067715254194,24.9080850501729,13.6293811013574
"Mesangial_cells",1.6586145721622,24.0724235653499,12.865519068756
"Bcells",1.70245984474065,17.5502069664802,9.6263334056104
"Adipocytes",1.8317807440263,16.7302018243604,9.28099128419336
"Macrophages_M1",2.24085453568539,14.4558326714912,8.34834360358828
"Keratinocytes",2.37094839046377,13.8574687375521,8.11420856400791
"Astrocytes",1.41749293875608,14.2927318584501,7.85511239860307
"Basophils",1.35247210546951,14.1716132465424,7.76204267600597
"Neurons",1.98592977941192,12.6142265337754,7.30007815659367
"NKT",1.79551023212652,12.2582445008438,7.02687736648516
"Th1_cells",2.2703134159912,11.3864730014303,6.82839320871074
"Macrophages_M2",2.31155460228561,10.8884779761939,6.60001628923975
"CD8_Tcells",1.79287422552938,9.57451586307156,5.68369504430047
"aDC",1.73908889784985,9.40048769745344,5.56978829765165
"Skeletal_muscle",2.26283416670023,8.01486350355514,5.13884883512769
"GMP",0.985437060975522,8.20668827396026,4.59606266746789
"Chondrocytes",1.68779731603371,7.28847595435854,4.48813663519612
"CD4_naive_Tcells",0.978445618360023,7.86930711415907,4.42387636625954
"CD4_Tcm",2.33879352482722,6.12774935853541,4.23327144168132
"MicroenvironmentScore",2.40025855394658,5.99367593028921,4.1969672421179
"Th2_cells",2.16558956826637,5.93350389925089,4.04954673375863
"Plasma_cells",1.67550374828,5.89346186606872,3.78448280717436
"Fibroblasts",1.69339041095006,5.33421907951302,3.51380474523154
"pro_Bcells",1.38327323919571,5.00218014602945,3.19272669261258
"Endothelial_cells",2.53272994072933,3.76066387646038,3.14669690859485
"pDC",1.7371434331812,4.21869393905324,2.97791868611722
"cDC",0.691351416777503,3.58291429606527,2.13713285642139
"CD4_memory_Tcells",2.70039824082015,0,1.35019912041007
"CD8_naive_Tcells",2.14009430674066,0,1.07004715337033
"MPP",2.10008923526201,0,1.050044617631
"CLP",2.09940336060144,0,1.04970168030072
"Preadipocytes",2.08387151427055,0,1.04193575713528
"mv_Endothelial_cells",2.05684451416777,0,1.02842225708388
"HSC",2.04677090708758,0,1.02338545354379
"Eosinophils",2.04023619823111,0,1.02011809911555
"ImmuneScore",1.94980093009358,0,0.97490046504679
"CD4_Tcells",1.94766071026941,0,0.973830355134703
"Megakaryocytes",1.94717365717077,0,0.973586828585387
"Macrophages",1.91219216903875,0,0.956096084519377
"Pericytes",1.88782194746891,0,0.943910973734456
"Platelets",1.78563198696815,0,0.892815993484076
"ly_Endothelial_cells",1.78188024800316,0,0.890940124001581
"Sebocytes",1.70439316775443,0,0.852196583877213
"Monocytes",1.58954636026624,0,0.794773180133119
"StromaScore",1.55604325655341,0,0.778021628276704
"Epithelial_cells",1.55076810635365,0,0.775384053176827
"Classswitched_memory_Bcells",1.49736257293869,0,0.748681286469344
"Neutrophils",1.4875997797463,0,0.743799889873148
"Tregs",1.46609409996422,0,0.733047049982111
"CD4_Tem",1.46340550599303,0,0.731702752996515
"Erythrocytes",1.46052483851151,0,0.730262419255755
"Melanocytes",1.36925217458564,0,0.68462608729282
"Hepatocytes",1.31014398610778,0,0.655071993053892
"iDC",1.21469858995841,0,0.607349294979206
"MEP",1.21290379142998,0,0.606451895714989
"CMP",1.16806085716382,0,0.58403042858191
"CD8_Tem",1.14020491653776,0,0.570102458268878
"DC",1.13842291539456,0,0.569211457697278
"CD8_Tcm",0.823136423751525,0,0.411568211875763
"Osteoblast",0.743784667359481,0,0.371892333679741
"NK_cells",0.680988036141349,0,0.340494018070674
"Smooth_muscle",0.524351598062389,0,0.262175799031195
"naive_Bcells",0.440025233496917,0,0.220012616748459
"Memory_Bcells",0.425788180619436,0,0.212894090309718
